#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
392,Edward Olivares,KCR,60,243,7,28,29,6,6.50%,18.20%,0.165,0.3,0.265,0.323,0.431,0.325,102,-0.2,0.4,-5.2,0.3
393,Wade Meckler,SFG,31,126,2,13,11,2,9.30%,23.70%,0.104,0.334,0.256,0.332,0.36,0.307,95,-0.1,-1,0,0.3
394,Josh H. Smith,TEX,29,118,3,14,12,2,10.30%,22.40%,0.135,0.296,0.24,0.334,0.375,0.315,97,-0.3,-0.7,0,0.3
395,Mike Zunino,,45,177,7,19,21,1,7.80%,35.80%,0.181,0.258,0.191,0.263,0.372,0.276,71,-0.5,-6.6,2.9,0.3
396,Edmundo Sosa,PHI,44,173,4,19,19,3,4.00%,23.60%,0.144,0.303,0.246,0.295,0.39,0.297,84,0,-3.5,0.8,0.3
397,Hunter Goodman,COL,117,453,22,57,65,2,6.50%,25.80%,0.229,0.297,0.254,0.308,0.483,0.335,95,-0.7,-3.6,-8.6,0.3
398,Nick Castellanos,PHI,150,647,24,77,89,7,6.00%,24.90%,0.183,0.316,0.26,0.309,0.443,0.322,100,-2.2,-1.9,-17,0.3
399,Adam Duvall,,123,510,24,59,69,4,6.70%,31.60%,0.206,0.27,0.216,0.277,0.422,0.299,87,-1.2,-9.4,-4.8,0.3
400,Carlos P�rez,CHW,53,210,7,22,23,1,6.20%,14.10%,0.153,0.245,0.235,0.289,0.388,0.294,84,-0.4,-4.5,3.5,0.3
401,Tyler Soderstrom,OAK,85,344,13,35,39,1,6.10%,28.40%,0.17,0.269,0.217,0.27,0.387,0.283,82,-0.6,-8.2,0.5,0.3
402,Garrett Cooper,,105,452,15,53,54,1,8.50%,27.60%,0.165,0.318,0.247,0.319,0.412,0.318,100,-2.2,-2.3,-9.9,0.3
403,Romy Gonzalez,CHW,81,315,10,33,35,9,6.20%,31.50%,0.159,0.302,0.225,0.277,0.383,0.285,78,-0.1,-8.5,0.8,0.3
404,Sean Bouchard,COL,44,177,7,22,22,3,11.30%,26.60%,0.199,0.319,0.253,0.344,0.451,0.344,101,-0.3,-0.2,-2.8,0.3
405,Joey Wendle,,70,287,4,29,27,6,4.60%,19.90%,0.118,0.298,0.247,0.29,0.365,0.285,77,-0.3,-8.2,1.5,0.3
406,Charlie Blackmon,COL,130,594,14,78,59,6,7.70%,16.60%,0.152,0.314,0.276,0.343,0.428,0.335,95,-1.7,-5.6,-11.7,0.3
407,Jace Peterson,ARI,73,293,5,31,28,8,10.70%,24.00%,0.123,0.296,0.232,0.32,0.355,0.299,85,0.4,-5,-2,0.3
408,Richie Palacios,STL,32,130,3,15,14,2,10.90%,17.10%,0.132,0.29,0.251,0.34,0.383,0.32,102,-0.2,0.1,-1.6,0.3
409,Jorge Mateo,BAL,29,113,3,13,12,8,5.80%,25.50%,0.142,0.295,0.234,0.284,0.376,0.286,82,0.6,-1.9,0.9,0.3
410,Rougned Odor,,49,195,6,21,22,2,7.60%,24.20%,0.167,0.27,0.226,0.297,0.393,0.3,88,0,-2.9,-0.8,0.3
411,Jace Jung,DET,31,125,3,13,13,1,9.50%,26.30%,0.148,0.292,0.229,0.309,0.377,0.3,89,-0.2,-1.9,0.5,0.3
412,Joey Ortiz,BAL,18,70,1,8,8,1,6.50%,19.20%,0.136,0.314,0.266,0.318,0.402,0.312,100,-0.1,-0.1,0.5,0.3
413,C.J. Cron,,120,516,22,61,70,1,8.20%,26.20%,0.191,0.282,0.236,0.307,0.427,0.315,98,-2.2,-3.3,-11.4,0.3
414,Alex Call,WSN,39,158,4,18,16,4,12.00%,19.00%,0.149,0.269,0.234,0.337,0.383,0.318,98,-0.2,-0.5,-2.1,0.3
415,Jonathan Aranda,TBR,21,87,2,10,10,0,10.50%,24.60%,0.156,0.324,0.256,0.345,0.413,0.331,115,-0.2,1.4,-1.6,0.3
416,Blake Sabol,SFG,42,169,5,17,18,2,7.90%,31.00%,0.149,0.312,0.229,0.297,0.378,0.295,87,-0.2,-3,-0.2,0.3
417,Paul DeJong,,53,213,7,22,24,3,7.40%,29.20%,0.16,0.262,0.208,0.276,0.367,0.281,75,-0.4,-7,2.4,0.3
418,Nick Maton,DET,36,148,3,16,14,1,11.80%,25.10%,0.138,0.285,0.222,0.322,0.361,0.304,91,-0.2,-1.8,-0.6,0.3
419,Andy Pages,LAD,24,99,4,12,12,1,9.50%,27.50%,0.182,0.278,0.224,0.309,0.406,0.31,95,-0.1,-0.7,0,0.3
420,Tyrone Taylor,MIL,125,504,20,58,64,10,5.80%,23.80%,0.191,0.28,0.24,0.295,0.431,0.312,94,0.3,-3.6,-11,0.3
421,Curtis Mead,TBR,15,60,2,7,7,0,8.90%,21.00%,0.157,0.295,0.248,0.323,0.405,0.317,105,-0.1,0.3,0.3,0.3
422,Osleivis Basabe,TBR,18,72,1,7,7,1,6.30%,17.80%,0.11,0.313,0.262,0.314,0.373,0.3,94,-0.1,-0.6,0.7,0.3
423,Blake Hunt,SEA,33,134,3,13,13,1,6.40%,26.00%,0.131,0.265,0.21,0.27,0.341,0.268,71,-0.2,-4.8,2.8,0.3
424,Tyler Nevin,DET,26,105,3,11,12,1,9.30%,21.50%,0.151,0.291,0.245,0.324,0.396,0.316,99,-0.2,-0.3,-0.8,0.3
425,Jacob Young,WSN,50,195,2,21,17,8,6.90%,17.90%,0.1,0.304,0.255,0.314,0.355,0.296,83,0.4,-3.8,-0.4,0.2
426,Ceddanne Rafaela,BOS,24,106,3,13,12,4,4.50%,22.60%,0.162,0.304,0.254,0.295,0.416,0.305,86,0,-1.7,0.6,0.2
427,Jonathan Schoop,,53,220,6,23,24,1,5.70%,21.60%,0.141,0.292,0.246,0.295,0.387,0.296,85,-0.2,-4.3,-0.8,0.2
428,Seby Zavala,ARI,23,88,2,8,8,1,8.40%,35.30%,0.129,0.295,0.2,0.274,0.329,0.267,64,-0.3,-4.2,1.2,0.2
429,Jo Adell,LAA,104,425,19,49,55,7,7.00%,32.50%,0.202,0.29,0.223,0.286,0.425,0.304,90,-0.4,-5.5,-6.5,0.2
430,Josh Harrison,,58,230,4,23,23,2,5.10%,18.00%,0.113,0.293,0.25,0.305,0.363,0.294,84,-0.8,-5.4,-0.1,0.2
431,Justyn-Henry Malloy,DET,21,85,2,10,9,0,13.40%,26.50%,0.15,0.313,0.24,0.349,0.39,0.327,107,-0.2,0.6,-1.2,0.2
432,Stone Garrett,WSN,83,339,14,37,41,5,6.90%,28.90%,0.188,0.297,0.236,0.294,0.424,0.308,91,-0.3,-4,-5.3,0.2
433,C�sar Salazar,HOU,45,179,4,19,17,2,7.30%,23.40%,0.121,0.252,0.205,0.28,0.326,0.269,69,-0.3,-7,3.4,0.2
434,Ben Gamel,SDP,40,171,4,19,18,2,10.90%,25.60%,0.141,0.306,0.238,0.326,0.378,0.311,95,-0.4,-1.4,-2.2,0.2
